"country","city","total_rent","total_revenue","unique_customers","top_category"
"Philippines","Cabuyao","29","123.71","1","Sports"
"Philippines","Cavite","28","114.72","1","Action"
"Philippines","Davao","30","123.70","1","Foreign"
"Philippines","Gingoog","27","90.73","1","Sci-Fi"
"Philippines","Hagonoy","18","70.82","1","Animation"
"Philippines","Iligan","26","98.74","1","Foreign"
"Philippines","Imus","28","133.72","1","Foreign"
"Philippines","Lapu-Lapu","30","122.70","1","Comedy"
"Philippines","Mandaluyong","27","116.73","1","Sci-Fi"
"Philippines","Ozamis","26","122.74","1","Animation"
"Philippines","Santa Rosa","32","161.68","1","Games"
"Philippines","Taguig","27","88.73","1","Action"
"Philippines","Talavera","19","91.81","1","Animation"
"Philippines","Tanauan","34","156.66","1","Animation"
"Philippines","Tanza","39","166.61","1","Foreign"
"Philippines","Tarlac","16","63.84","1","Children"
"Philippines","Tuguegarao","22","90.78","1","Foreign"
"Poland","Bydgoszcz","7","27.93","1","Action"
"Poland","Czestochowa","24","100.76","1","Sports"
"Poland","Jastrzebie-Zdrj","30","118.70","1","Animation"
"Poland","Kalisz","19","75.81","1","Children"
"Poland","Lublin","19","86.81","1","New"
"Poland","Plock","22","107.78","1","Sports"
"Poland","Tychy","35","132.65","1","Foreign"
"Poland","Wroclaw","28","135.72","1","Comedy"
"Puerto Rico","Arecibo","32","144.68","1","New"
"Puerto Rico","Ponce","20","79.80","1","Foreign"
"Romania","Botosani","31","118.69","1","Sci-Fi"
"Romania","Bucuresti","27","99.73","1","Horror"
"Runion","Saint-Denis","45","211.55","1","Sci-Fi"
"Russian Federation","Atinsk","28","104.72","1","Drama"
"Russian Federation","Balaiha","19","84.81","1","Games"
"Russian Federation","Dzerzinsk","20","71.80","1","Comedy"
"Russian Federation","Elista","18","87.82","1","Foreign"
"Russian Federation","Ivanovo","21","95.79","1","Horror"
"Russian Federation","Jaroslavl","16","71.84","1","Children"
"Russian Federation","Jelets","23","101.77","1","Animation"
"Russian Federation","Kaliningrad","15","71.85","1","Sci-Fi"
"Russian Federation","Kamyin","23","102.77","1","Animation"
"Russian Federation","Kirovo-Tepetsk","26","120.74","1","Family"
"Russian Federation","Kolpino","28","125.72","1","Family"
"Russian Federation","Korolev","29","115.71","1","Action"
"Russian Federation","Kurgan","27","109.73","1","Classics"
"Russian Federation","Kursk","15","80.85","1","Documentary"
"Russian Federation","Lipetsk","21","101.79","1","Animation"
"Russian Federation","Ljubertsy","27","106.73","1","Documentary"
"Russian Federation","Maikop","30","145.70","1","Family"
"Russian Federation","Moscow","31","131.69","1","Animation"
"Russian Federation","Nabereznyje Telny","27","109.73","1","Action"
"Russian Federation","Niznekamsk","14","67.86","1","Foreign"
"Russian Federation","Novoterkassk","18","66.82","1","Documentary"
"Russian Federation","Pjatigorsk","26","119.74","1","Action"
"Russian Federation","Serpuhov","20","85.80","1","Travel"
"Russian Federation","Smolensk","22","105.78","1","Travel"
"Russian Federation","Syktyvkar","19","73.81","1","Documentary"
"Russian Federation","Teboksary","21","63.79","1","Music"
"Russian Federation","Usolje-Sibirskoje","31","152.69","1","Animation"
"Russian Federation","Zeleznogorsk","23","87.77","1","Games"
"Saint Vincent and the Grenadines","Kingstown","18","64.82","1","Horror"
"Saudi Arabia","Abha","23","86.77","1","Animation"
"Saudi Arabia","al-Hawiya","17","75.83","1","Sports"
"Saudi Arabia","al-Qatif","22","91.78","1","Animation"
"Saudi Arabia","Jedda","24","116.76","1","Family"
"Saudi Arabia","Tabuk","20","81.80","1","Action"
"Senegal","Ziguinchor","24","95.76","1","Sci-Fi"
"Slovakia","Bratislava","23","80.77","1","Drama"
"South Africa","Boksburg","31","131.69","1","Documentary"
"South Africa","Botshabelo","28","95.72","1","Animation"
"South Africa","Chatsworth","17","74.83","1","Games"
"South Africa","Johannesburg","26","106.74","1","Music"
"South Africa","Kimberley","18","98.82","1","Sports"
"South Africa","Klerksdorp","19","79.81","1","Classics"
"South Africa","Newcastle","20","93.80","1","Games"
"South Africa","Paarl","20","78.80","1","Sports"
"South Africa","Rustenburg","26","104.74","1","Games"
"South Africa","Soshanguve","27","107.73","1","Animation"
"South Africa","Springs","22","96.78","1","Sci-Fi"
"South Korea","Cheju","20","84.80","1","Family"
"South Korea","Kimchon","23","90.77","1","Sports"
"South Korea","Naju","31","138.69","1","Classics"
"South Korea","Tonghae","23","109.77","1","Music"
"South Korea","Uijongbu","26","103.74","1","Animation"
"Spain","A Corua (La Corua)","28","106.72","1","Comedy"
"Spain","Donostia-San Sebastin","21","107.79","1","Sports"
"Spain","Gijn","20","77.80","1","Action"
"Spain","Ourense (Orense)","35","158.65","1","Games"
"Spain","Santiago de Compostela","16","62.84","1","Games"
"Sri Lanka","Jaffna","27","103.73","1","Children"
"Sudan","al-Qadarif","19","57.81","1","Music"
"Sudan","Omdurman","30","144.70","1","Drama"
"Sweden","Malm","33","139.67","1","Classics"
"Switzerland","Basel","13","57.87","1","Classics"
"Switzerland","Bern","24","106.76","1","Animation"
"Switzerland","Lausanne","22","83.78","1","Comedy"
"Taiwan","Changhwa","39","149.61","1","Family"
"Taiwan","Chiayi","22","89.78","1","Children"
"Taiwan","Chungho","24","100.76","1","Drama"
"Taiwan","Fengshan","32","135.68","1","New"
"Taiwan","Hsichuh","34","144.66","1","Action"
"Taiwan","Lungtan","34","123.66","1","Drama"
"Taiwan","Nantou","35","134.65","1","Classics"
"Taiwan","Tanshui","26","111.74","1","Action"
"Taiwan","Touliu","27","113.73","1","Action"
"Taiwan","Tsaotun","17","50.83","1","Drama"
"Tanzania","Mwanza","28","109.72","1","Games"
"Tanzania","Tabora","25","102.75","1","Action"
"Tanzania","Zanzibar","25","109.75","1","New"
"Thailand","Nakhon Sawan","31","142.69","1","Animation"
"Thailand","Pak Kret","29","111.71","1","Sci-Fi"
"Thailand","Songkhla","32","146.68","1","Drama"
"Tonga","Nukualofa","16","64.84","1","Sports"
"Tunisia","Sousse","22","73.78","1","Sci-Fi"
"Turkey","Adana","19","74.81","1","Documentary"
"Turkey","Balikesir","36","145.64","1","Sci-Fi"
"Turkey","Batman","30","133.70","1","Action"
"Turkey","Denizli","17","81.83","1","Comedy"
"Turkey","Eskisehir","23","89.77","1","Horror"
"Turkey","Gaziantep","19","83.81","1","Classics"
"Turkey","Inegl","21","71.79","1","Comedy"
"Turkey","Kilis","20","83.80","1","Documentary"
"Turkey","Ktahya","14","57.86","1","Documentary"
"Turkey","Osmaniye","27","131.73","1","Classics"
"Turkey","Sivas","25","108.75","1","Drama"
"Turkey","Sultanbeyli","22","104.78","1","Horror"
"Turkey","Tarsus","15","64.85","1","Children"
"Turkey","Tokat","32","130.68","1","Action"
"Turkey","Usak","31","134.69","1","Foreign"
"Turkmenistan","Ashgabat","26","126.74","1","Family"
"Tuvalu","Funafuti","22","93.78","1","Children"
"Ukraine","Kamjanets-Podilskyi","28","109.72","1","Children"
"Ukraine","Konotop","19","84.81","1","Family"
"Ukraine","Mukateve","27","112.73","1","Action"
"Ukraine","ostka","22","97.78","1","Games"
"Ukraine","Simferopol","24","118.76","1","Action"
"Ukraine","Sumy","27","151.73","1","Classics"
"United Arab Emirates","Abu Dhabi","29","99.71","1","Action"
"United Arab Emirates","al-Ayn","24","102.76","1","Sports"
"United Arab Emirates","Sharja","22","102.78","1","Drama"
"United Kingdom","Bradford","21","72.79","1","Comedy"
"United Kingdom","Dundee","23","74.77","1","Documentary"
"United Kingdom","London","46","174.54","2","Drama"
"United Kingdom","Southampton","23","117.77","1","Games"
"United Kingdom","Southend-on-Sea","25","109.75","2","Sports"
"United Kingdom","Southport","18","72.82","1","Games"
"United Kingdom","Stockport","21","106.79","1","Animation"
"United Kingdom","York","27","121.73","1","Drama"
"United States","Akron","29","134.71","1","Comedy"
"United States","Arlington","20","87.80","1","Foreign"
"United States","Augusta-Richmond County","27","105.73","1","Documentary"
"United States","Aurora","42","159.58","2","Children"
"United States","Bellevue","20","91.80","1","Children"
"United States","Brockton","25","116.75","1","Sports"
"United States","Cape Coral","42","208.58","1","Animation"
