facility_name,facility_type_display,improved_water_supply,improved_sanitation,chalkboard_each_classroom_yn,num_tchrs_with_nce,num_tchr_full_time,num_students_total,num_classrms_total,phcn_electricity,num_toilets_total,num_students_male,num_students_female,num_tchrs_male,num_tchrs_female,date_of_survey,education_type,community,ward,management,sector,unique_lga,latitude,longitude,total_teacher,student_teacher_ratio,total_student
Nomadic Pri. Sch. Mesawa,Primary school only,False,False,False,1,3,140,6,False,0,77,63,3,0,2014-04-11,formal_only,Mesawa,Lazuru,public,education,kaduna,10.24969427,8.67903382,3,46.666666666666664,140
LEA Pri. Sch. Babban Padama,Primary school only,False,False,False,2,5,342,6,False,0,200,142,5,0,2014-04-11,formal_only,Babban Padama,Lazuru,public,education,kaduna,10.22466497,8.64856883,5,68.4,342
UBE,Primary and Junior Secondary school combined,False,False,False,1,3,122,6,False,0,52,70,3,0,2014-04-11,formal_only,Kulalengi,Lazuru,public,education,kaduna,10.20929949,8.67754674,3,40.666666666666664,122
UBE Pri. Sch. Pindo Kawan,Primary school only,False,False,False,1,4,237,4,False,0,105,132,4,0,2014-04-11,formal_only,Pindo Kawan,Lazuru,public,education,kaduna,10.2272683,8.69465357,4,59.25,237
Seat of Wisdom,Primary and Junior Secondary school combined,True,True,True,7,22,100,12,False,2,65,35,5,17,2014-04-09,integrated,Mbano camp,8,private,education,rivers,4.87163807,7.13332975,22,4.545454545454546,100
Hiltop International,Primary school only,False,True,False,1,6,77,6,True,1,36,41,2,4,2014-04-09,formal_only,Ehi Road,8,private,education,rivers,4.88286819,7.1302488,6,12.833333333333334,77
Icon International School,Primary school only,False,True,True,15,15,180,9,False,2,80,100,1,14,2014-04-09,formal_only,Chigbu Street,9,private,education,rivers,4.87187952,7.1398154,15,12.0,180
Jorikol Primary School,Primary school only,True,False,True,1,3,374,3,False,0,262,112,3,0,2014-02-26,formal_only,Jorikol,Silame,public,education,sokoto,13.0634,4.9195,3,124.66666666666667,374
FARU PRIMARY SCHOOL,Primary school only,False,True,True,2,8,438,6,False,6,205,233,8,0,2014-03-01,formal_only,FARU,DALLAJE,public,education,katsina,12.6899,7.8976,8,54.75,438
MAGAMI PRIMARY SCHOOL,Primary school only,False,True,True,1,3,334,3,False,3,221,113,3,0,2014-03-01,formal_only,MAGAMI DADO,TAMA,public,education,katsina,12.6199,7.8688,3,111.33333333333333,334
KUMA NOMADIC SCHOOL,Primary school only,False,True,True,2,4,408,4,False,4,205,203,4,0,2014-03-01,formal_only,KUMA,DALLAJE,public,education,katsina,12.6773,7.8743,4,102.0,408
Ube ungwar kwara,Primary school only,False,False,False,1,2,90,2,False,0,55,35,2,0,2014-02-27,formal_only,Ungwar kwara,Arak,public,education,kaduna,9.2068,8.3606,2,45.0,90
Garbabi Primary School,Primary school only,True,False,True,20,25,950,9,False,0,500,450,19,6,2014-02-26,formal_only,Garbabi,Garbabi,public,education,taraba,7.8391,11.033,25,38.0,950
ZAMBUK,Primary school only,True,True,False,33,51,1252,7,False,6,641,611,26,25,2014-02-26,formal_only,ZAMBUK,ZAMBUK KWALI,public,education,gombe,10.316,11.3549,51,24.54901960784314,1252
Kolwa Pri School,Primary school only,False,True,True,4,8,50,7,False,2,25,25,6,2,2014-02-27,formal_only,Kolwa,Tungo,public,education,gombe,9.9195,11.2895,8,6.25,50
Gari Gwacca PS,Primary school only,False,True,True,1,5,305,4,False,2,185,120,5,0,2014-02-27,formal_only,Kari Gocha,Sade,public,education,bauchi,11.2441,10.5635,5,61.0,305
Kili PS,Primary school only,False,False,True,5,5,228,4,False,0,138,90,5,0,2014-02-27,formal_only,Kili,Gabarin,public,education,bauchi,11.0703,10.4296,5,45.6,228
Bingi PS,Primary school only,False,False,True,8,9,356,2,False,0,234,122,9,0,2014-02-27,formal_only,Bingi,Darazo West,public,education,bauchi,10.9437,10.3773,9,39.55555555555556,356
Zira central PS,Primary school only,False,False,False,1,2,280,4,False,0,160,120,2,0,2014-02-27,formal_only,Zira,Darazo west,private,education,bauchi,10.9526,10.358,2,140.0,280
UBE JSS ABASAMA,Junior Secondary school only,True,False,True,13,21,507,3,True,0,386,121,14,7,2014-02-27,formal_only,Federal lowcost Darazo,Darazo East,public,education,bauchi,10.9947,10.4143,21,24.142857142857142,507
Badas Pri. Sch,Primary school only,False,False,False,3,4,350,6,False,0,200,150,4,0,2014-02-26,formal_only,Badas,Mbal,public,education,bauchi,9.8675,9.713,4,87.5,350
Girls nursery and primary sch.,Junior and Senior Secondary school combined,False,True,True,30,33,296,14,False,3,0,296,8,25,2014-02-28,formal_only,Yaskule,Michika 2,public,education,adamawa,10.6259,13.3856,33,8.969696969696969,296
Cesdawol nursery/ primary,Primary school only,True,True,False,19,26,439,13,False,6,229,210,7,19,2014-02-28,formal_only,Cesdawol,Michika 2,public,education,adamawa,10.6324,13.3858,26,16.884615384615383,439
RCM PRIMARY SCHOOL OKWERISENG UBANG,Primary school only,False,False,False,10,11,175,9,False,0,87,88,7,4,2014-02-27,formal_only,OKWERISENG UBANG,ALEGE UBANG,public,education,cross,6.50200175,9.05028613,11,15.909090909090908,175
Abonde Community Grammar School,Junior and Senior Secondary school combined,True,True,False,2,14,1494,11,False,5,715,779,9,5,2014-02-28,formal_only,Oke-Ogbere,7,public,education,oyo,7.355,3.9393,14,106.71428571428571,1494
Elekuro High School V,Junior Secondary school only,True,False,True,0,7,257,5,False,0,124,133,3,4,2014-02-28,formal_only,Oke-Ogbere,7,public,education,oyo,7.3537,3.9392,7,36.714285714285715,257
Central School,Primary school only,False,True,False,15,15,223,18,False,4,125,98,2,13,2014-02-26,formal_only,Ezeoke Nsu,Nsu B,public,education,imo,5.6451,7.3336,15,14.866666666666667,223
Zumuratul-Hujaj Secondary School,Junior Secondary school only,True,False,True,1,7,513,6,False,0,244,269,2,5,2014-02-28,formal_only,Olorunsogo,9,public,education,oyo,7.3589,3.926,7,73.28571428571429,513
Obiora Road End Primary School,Primary school only,False,False,False,3,3,84,4,False,0,34,50,1,2,2014-02-26,formal_only,Ndiegoro,Aba River,public,education,abia,5.1004,7.3842,3,28.0,84
First Baptist Church Nur & Pry School,Primary school only,True,True,True,3,7,102,15,True,10,21,81,2,5,2014-02-25,formal_only,Erunkun ketu,Erunkun,private,education,lagos,6.6061,3.394,7,14.571428571428571,102
"OGO OLUWA BEST GROUP OF SCHOOLS,ODE-EKITI",Primary and Junior Secondary school combined,False,False,False,5,9,118,8,False,0,53,65,4,5,2014-02-27,formal_only,ODE EKITI,ODE WARD 3,private,education,ekiti,7.6447,5.5619,9,13.11111111111111,118
"Jobabeg International College,Aaisegba-Ekiti",Junior and Senior Secondary school combined,True,True,True,4,17,110,8,False,6,40,70,10,7,2014-02-27,formal_only,Aisegba-Ekiti,Aisegba ward 1,private,education,ekiti,7.5975,5.4838,17,6.470588235294118,110
LEA Dungnoegoen,Primary school only,False,False,False,3,3,208,6,False,0,96,112,3,0,2014-02-28,formal_only,Dungnoegoen,Dokan Kasuwa East,public,education,plateau,9.0684,9.3088,3,69.33333333333333,208
Science Primsry School Kwang,Primary school only,True,False,False,8,8,453,16,False,0,260,193,6,2,2014-02-28,formal_only,Kwang,Kwang,public,education,plateau,9.0209,9.2881,8,56.625,453
LEA primary school Gurapwana,Primary school only,True,False,True,0,2,82,1,False,0,37,45,0,2,2014-03-04,formal_only,Gurapwana Turu,Turu,public,education,plateau,9.7065,8.7908,2,41.0,82
GSS Luvu Madaki,Junior and Senior Secondary school combined,False,False,False,14,14,522,6,False,0,255,267,6,8,2014-02-27,formal_only,Luvu Madaki,Aso Kodape,public,education,nasarawa,9.0306,7.6797,14,37.285714285714285,522
Jamdangiji Pri. Sch.,Primary school only,False,False,True,4,4,245,2,False,0,135,110,4,0,2014-02-27,formal_only,Jamdangiji,Bununu,public,education,bauchi,9.8623,9.7271,4,61.25,245
St Andrews state school2,Primary school only,True,True,True,13,14,370,13,True,6,171,199,0,14,2014-03-07,formal_only,Rumuwoji,11,public,education,rivers,4.7921986,6.99556214,14,26.428571428571427,370
Dako Primary School,Primary school only,False,False,False,4,8,159,4,False,0,116,43,4,4,2014-05-01,formal_only,Dako,Dobi,public,education,fct,9.003625,6.88901,8,19.875,159
Dadabiri Primary School,Primary school only,True,False,False,9,9,146,8,False,0,83,63,4,5,2014-05-01,formal_only,Dadabiri,Dobi,public,education,fct,9.20571166666667,6.98045666666667,9,16.22222222222222,146
Junior Secondary School Dobi,Junior Secondary school only,True,True,False,29,32,1251,22,True,4,646,605,19,13,2014-05-01,formal_only,Dobi,Dobi,public,education,fct,9.07635,6.99484833333333,32,39.09375,1251
Kwaimuku  Primary School,Primary school only,False,False,False,4,6,73,9,False,0,51,22,6,0,2014-05-01,formal_only,Kwaimuku,Ibwa,public,education,fct,9.11386,7.01969833333333,6,12.166666666666666,73
Divine favour nusery and primary school,Primary school only,False,True,True,10,10,177,9,False,2,102,75,2,8,2014-03-06,formal_only,Asaba,Ward 5 umunkwo,private,education,delta,6.19321956,6.73447904,10,17.7,177
Stelamaris primary school,Primary school only,True,True,True,7,10,161,9,True,2,76,85,2,8,2014-03-06,formal_only,Asaba,Ward 5 uda layout phase 1,private,education,delta,6.19127388,6.72727069,10,16.1,161
Zappa primary school,Primary school only,True,True,True,32,45,1518,29,True,1,763,755,2,43,2014-03-06,formal_only,Asaba,Ward 7 umuagu quarters,public,education,delta,6.19823906,6.72241724,45,33.733333333333334,1518
Bramber international nursery and primary school,Primary school only,True,True,False,2,10,55,10,True,4,29,26,5,5,2014-03-06,formal_only,AsAba,Ward 9 dla road,private,education,delta,6.20136583,6.71633728,10,5.5,55
L.E.A Primary School GURFATA,Primary school only,False,True,True,10,10,265,6,False,2,175,90,6,4,2014-05-01,formal_only,GURFATA,IBWA,public,education,fct,9.12948666666667,7.06207666666667,10,26.5,265
State school1 umuoke,Primary school only,False,False,False,1,7,56,9,False,0,25,31,4,3,2014-03-06,formal_only,Umuoke,Umuoke,public,education,rivers,4.9726,7.068,7,8.0,56
Mega Brain Academy (MB),Primary school only,True,True,True,0,2,19,2,False,1,5,14,0,2,2014-03-05,formal_only,Omuwei Igwuruta,Ward12,private,education,rivers,4.96808728,7.02024231,2,9.5,19
Junior Sec. Sch. Ibwa 1,Junior Secondary school only,False,True,True,8,12,167,8,False,2,103,64,9,3,2014-05-01,formal_only,Ibwa 1,Ibwa,public,education,fct,9.06172427,7.05606661,12,13.916666666666666,167
State Primary School ,Primary school only,True,True,True,11,15,390,13,True,5,192,198,2,13,2014-03-05,formal_only,Oyigbo North,9,public,education,rivers,4.87945734,7.14057843,15,26.0,390
Gloryfield Group of Schools,Primary and Junior Secondary school combined,True,True,True,5,26,120,13,False,13,70,50,10,16,2014-03-05,formal_only,Mbano Camp,8,private,education,rivers,4.86830628,7.12526942,26,4.615384615384615,120
LEA Primary school Dangyuruk,Primary school only,True,False,False,11,11,392,6,False,0,188,204,6,5,2014-03-04,formal_only,Dangyuruk,Turu,public,education,plateau,9.65696373,8.77859157,11,35.63636363636363,392
UPE Model School Choba,Primary school only,True,True,True,44,44,573,22,True,8,320,253,2,42,2014-03-05,formal_only,Choba,Choba 15,public,education,rivers,4.89400183,6.90578996,44,13.022727272727273,573
Brainfield IntÃ¢ÂÂl Sec. School,Junior and Senior Secondary school combined,True,True,True,18,18,230,25,True,16,80,150,6,12,2014-03-05,formal_only,Eliogbolo,Eliogbolo 7,private,education,rivers,4.86229501,7.01414247,18,12.777777777777779,230
State School 2 Elele Alimini,Primary school only,True,True,True,10,25,50,13,True,6,20,30,10,15,2014-03-05,formal_only,Elele Alimini,9,public,education,rivers,5.0564,6.7343,25,2.0,50
Uvehu comprehensive. High School. Ibaa,Junior and Senior Secondary school combined,True,True,False,7,72,626,25,True,11,626,0,44,28,2014-03-05,formal_only,Ibaa,6,public,education,rivers,4.9567,6.8058,72,8.694444444444445,626
State school.odau,Primary school only,True,False,False,2,7,131,6,False,0,68,63,5,2,2014-03-05,formal_only,Odau,13,public,education,rivers,4.92224085,6.45113757,7,18.714285714285715,131
"Community Secondary School, PABOD",Junior and Senior Secondary school combined,False,True,False,43,43,756,7,True,6,396,360,6,37,2014-03-05,formal_only,Old G.R.A,4,public,education,rivers,4.78464003,7.01839332,43,17.58139534883721,756
State School 1 Ibaa,Primary school only,False,False,True,4,16,457,13,False,0,257,200,11,5,2014-03-04,formal_only,Ibaa,6,public,education,rivers,4.9717,6.8139,16,28.5625,457
State School 2 Ibaa,Primary school only,True,False,False,3,12,98,6,False,0,53,45,5,7,2014-03-04,formal_only,Ibaa,6,public,education,rivers,4.9792,6.8105,12,8.166666666666666,98
State School. Omuobizu-ibaa,Primary school only,True,True,False,10,13,311,16,False,2,146,165,8,5,2014-03-04,formal_only,Omuobizu-ibaa,6,public,education,rivers,4.9621,6.8044,13,23.923076923076923,311
UBE Primary School 2,Primary school only,True,False,True,1,7,415,8,False,0,188,227,1,6,2014-03-04,formal_only,Abuloma,20,public,education,rivers,4.77644319,7.06051705,7,59.285714285714285,415
State school 1. Obelle,Primary school only,True,True,True,8,8,400,7,True,4,250,150,1,7,2014-03-04,formal_only,Obelle,5,public,education,rivers,5.0041,6.819,8,50.0,400
LEA Primary school Dabwang,Primary school only,True,False,False,3,3,155,3,False,0,80,75,1,2,2014-03-04,formal_only,Dabwang,Chugwi,public,education,plateau,9.70244561,8.72869201,3,51.666666666666664,155
St. RitaÃ¢ÂÂs High School k-vom,Junior and Senior Secondary school combined,True,True,True,12,20,108,6,True,6,50,58,12,8,2014-03-04,formal_only,K-vom,Turu,private,education,plateau,9.71520341,8.79258941,20,5.4,108
Unity Private School Kuru,Primary school only,True,True,True,15,18,473,17,True,16,200,273,7,11,2014-03-04,integrated,Dahwak trade centre,Kuru B,private,education,plateau,9.74678815,8.83394911,18,26.27777777777778,473
State school ogboloma,Primary school only,True,False,True,6,6,177,6,False,0,82,95,3,3,2014-03-04,formal_only,Ogboloma,9,public,education,rivers,4.80671171,6.48322158,6,29.5,177
KIDI NURSERY & PRIMARY SCHOOL,Primary school only,True,False,False,7,7,270,17,False,0,100,170,5,2,2014-03-04,formal_only,ZAAKPON,2,private,education,rivers,4.65412173,7.38006792,7,38.57142857142857,270
C.P.S. 1 WIIYAAKARA,Primary school only,True,False,False,11,11,380,24,False,0,130,250,7,4,2014-03-04,formal_only,WIIYAAKARA,12,public,education,rivers,4.66402286,7.42581506,11,34.54545454545455,380
MODEL PRIMARY SCHOOL OVOM,Primary school only,True,True,False,21,22,1074,24,True,4,542,532,9,13,2014-03-04,formal_only,OVOM,1,public,education,bayelsa,4.93103823,6.266013,22,48.81818181818182,1074
Biedomo premier School Azikoro,"Primary, Junior and Senior Secondary school combined",True,True,True,12,40,473,24,True,54,225,248,24,16,2014-03-04,formal_only,Azikoro,4,private,education,bayelsa,4.902516,6.30037876,40,11.825,473
LEA Narko South,Primary school only,False,False,False,2,2,185,5,False,0,85,100,1,1,2014-03-04,formal_only,Narko South,Luukwo,public,education,plateau,8.56992711,9.3564622,2,92.5,185
LEA Angwan Merniang,Primary school only,False,False,False,1,3,43,4,False,0,22,21,3,0,2014-03-04,formal_only,Angwan Merniang,Luukwo,public,education,plateau,8.60984425,9.38730936,3,14.333333333333334,43
Reference College Bakin-ciyawa,Junior and Senior Secondary school combined,False,False,True,12,13,315,9,False,0,130,185,11,2,2014-03-04,formal_only,Bakin-ciyawa,Luukwo,private,education,plateau,8.6163661,9.30166533,13,24.23076923076923,315
Springfield Academy Nursery/primary School,Primary school only,True,True,False,22,22,129,10,True,6,57,72,4,18,2014-03-03,formal_only,Old Port harcourt Township,7,private,education,rivers,4.75217943,7.03984854,22,5.863636363636363,129
Besono Educational Center,Junior and Senior Secondary school combined,True,True,False,40,40,774,40,True,21,368,406,19,21,2014-03-03,formal_only,King Jaja Borokiri,7,private,education,rivers,4.75607274,7.03572184,40,19.35,774
LEA Primary school Zotbadin,Primary school only,True,False,True,5,5,91,6,False,0,45,46,4,1,2014-03-03,formal_only,Zotbadin,Du,public,education,plateau,9.87953998,8.91765742,5,18.2,91
LEA primary school Tim Tim,Primary school only,True,False,True,2,5,175,6,False,0,83,92,2,3,2014-03-03,formal_only,Tim Tim,Du,public,education,plateau,9.77501746,8.92613199,5,35.0,175
Rochas Foundation College Jos,Junior and Senior Secondary school combined,True,True,True,5,47,722,18,True,15,300,422,20,27,2014-03-03,formal_only,Old airport junction,Giring,private,education,plateau,9.87605778,8.87640512,47,15.361702127659575,722
State school 1 igbodo Etche,Primary school only,True,True,False,0,10,111,11,False,4,60,51,6,4,2014-03-03,formal_only,Igbodo Etche,Igbodo,public,education,rivers,5.1939,7.1659,10,11.1,111
Patrick Folley Staff Nur and Primary,Primary school only,True,True,True,4,7,161,8,False,1,77,84,0,7,2014-03-03,formal_only,Abwa,Mbakura,private,education,benue,7.22565028,9.21209364,7,23.0,161
Tom Gerald,Primary school only,True,False,False,4,7,122,7,False,0,65,57,4,3,2014-03-03,formal_only,Ugbema,Mbaakura,private,education,benue,7.12456842,9.26804724,7,17.428571428571427,122
RCM Prim Sch Mbaya _Adogo,Primary school only,False,False,True,4,5,190,6,False,0,75,115,4,1,2014-03-03,formal_only,Adogo,Mbaya,public,education,benue,7.51672477,9.01963429,5,38.0,190
Royal Secondary School,"Primary, Junior and Senior Secondary school combined",True,True,True,18,25,460,40,False,3,280,180,21,4,2014-03-03,formal_only,Mbajor,Mbaapen,private,education,benue,7.46232497,9.19851418,25,18.4,460
Mt Micheal Nur and Prim Sch Anvambe,Primary school only,False,True,True,2,7,117,6,False,4,52,65,7,0,2014-03-03,formal_only,Mbayila kor,Mbakyaan,private,education,benue,7.33437345,9.22769161,7,16.714285714285715,117
M.C.S S Staff Nur Prim Sch Mbakura,Primary school only,False,True,True,6,13,654,12,False,2,300,354,7,6,2014-03-03,formal_only,Abwa. Mbagen,Mbakura,private,education,benue,7.2101591,9.21101403,13,50.30769230769231,654
LGEA Prim Sch Ionguga,Primary school only,False,False,False,3,3,183,6,False,0,92,91,3,0,2014-03-03,formal_only,Mbagbabo,Mbaakura,public,education,benue,7.07453617,9.21289692,3,61.0,183
GSS Bokkos,Junior and Senior Secondary school combined,False,True,False,15,15,357,19,False,4,201,156,9,6,2014-03-03,formal_only,Bokkos,Bokkos,public,education,plateau,9.28564559,8.99431521,15,23.8,357
Lea chikam,Primary school only,False,False,False,3,3,61,4,False,0,36,25,3,0,2014-03-03,formal_only,Chikam,Butura,public,education,plateau,9.3591075,8.96907785,3,20.333333333333332,61
Gss butura kampani,Junior and Senior Secondary school combined,False,False,False,12,12,257,12,False,0,125,132,11,1,2014-03-03,formal_only,Butura,Butura,public,education,plateau,9.33229742,8.93711846,12,21.416666666666668,257
LGEA Prim Sch Igbur,Primary school only,False,False,True,3,9,183,6,False,0,101,82,7,2,2014-03-03,formal_only,Igbur,Mbatyough,public,education,benue,7.18951573,9.10446852,9,20.333333333333332,183
LGEA Prim School Akawa Otsafu,Primary school only,False,False,True,6,8,214,6,False,0,110,104,5,3,2014-03-03,formal_only,Akawa,Etulo,public,education,benue,7.21302393,9.25328839,8,26.75,214
LGEA Prim School,Primary school only,False,False,False,6,6,87,6,False,0,53,34,4,2,2014-03-03,formal_only,Gbelave,Mbaakura,public,education,benue,7.1294,9.2846,6,14.5,87
LGEA Prim Sch Tough,Primary school only,False,False,True,3,5,358,3,False,0,138,220,3,2,2014-03-03,formal_only,Tough,Mbatyough,public,education,benue,7.23579897,9.13537892,5,71.6,358
LGEA Prim Sch Sati,Primary school only,False,False,True,4,6,129,6,False,0,69,60,4,2,2014-03-03,formal_only,Sati,Mbakyan,public,education,benue,7.30312164,9.23511706,6,21.5,129
LGEA Prim Sch Mbamaku,Primary school only,False,True,True,4,5,114,3,False,2,0,114,4,1,2014-03-03,formal_only,Mbamaku,Mbaya,public,education,benue,7.53523031,9.01471273,5,22.8,114
LGEA Prin.School.Alu,Primary school only,False,True,False,4,5,285,9,False,3,169,116,3,2,2014-03-03,formal_only,Alu Abwa,Mbakura,public,education,benue,7.22040132,9.21424961,5,57.0,285
Primary School Agbalu,Primary school only,True,True,False,2,16,154,13,True,8,92,62,7,9,2014-03-03,formal_only,Agbalu Etche,Agbalu,public,education,rivers,5.125,7.1621,16,9.625,154
LGEA Prim. Sch. Ugbema,Primary and Junior Secondary school combined,False,True,False,5,6,164,9,False,3,76,88,1,5,2014-03-03,formal_only,Ugbema,Mbaakura,public,education,benue,7.11465365,9.26403296,6,27.333333333333332,164
Community Secondary school Egwi,Junior Secondary school only,True,True,False,0,19,776,18,True,5,411,365,8,11,2014-03-03,formal_only,Egwi Etche,Egwi,public,education,rivers,5.0288,7.0691,19,40.8421052631579,776
State school 1 Okomoko Etche,Primary school only,True,True,True,0,18,165,23,True,9,86,79,6,12,2014-03-03,formal_only,Okomoko Etche,Okomoko (ward 5),public,education,rivers,5.0132,7.0679,18,9.166666666666666,165
Community Primary school 2 Akwuobua,Primary school only,False,False,False,3,9,96,8,False,0,57,39,3,6,2014-03-03,formal_only,Akwuobuo Etche,Akwuobuo,public,education,rivers,5.139,7.1891,9,10.666666666666666,96
