"film_id","film_title","film_category","inventory_count","total_rent","total_revenue","last_rental_date","avg_rental_duration"
461,"Insects Stone","Animation","6","18","36.81","2006-02-14 15:16:03","3.00"
464,"Intentions Empire","Animation","7","17","78.83","2006-02-14 15:16:03","3.00"
470,"Ishtar Rocketeer","Animation","2","6","42.94","2005-08-22 18:03:11","4.00"
489,"Juggler Hardly","Animation","8","29","86.71","2006-02-14 15:16:03","4.00"
510,"Lawless Vision","Animation","4","15","76.86","2006-02-14 15:16:03","6.00"
541,"Luke Mummy","Animation","2","7","28.93","2005-08-21 18:35:54","5.00"
564,"Massage Image","Animation","3","11","56.89","2005-08-21 13:53:33","4.00"
569,"Menagerie Rushmore","Animation","2","6","18.94","2005-08-23 01:38:48","7.00"
582,"Miracle Virtual","Animation","2","8","41.92","2005-08-18 15:15:44","3.00"
583,"Mission Zoolander","Animation","5","16","110.84","2005-08-22 04:51:42","3.00"
615,"Nash Chocolat","Animation","4","13","58.87","2005-08-22 06:19:37","6.00"
644,"Oscar Gold","Animation","7","25","83.75","2005-08-23 15:09:17","7.00"
649,"Oz Liaisons","Animation","6","22","87.78","2005-08-23 04:00:30","4.00"
651,"Packer Madigan","Animation","6","20","58.80","2005-08-23 02:02:53","3.00"
690,"Pond Seattle","Animation","6","18","61.82","2005-08-22 11:09:18","7.00"
692,"Potluck Mixed","Animation","3","10","43.90","2005-08-23 06:48:47","3.00"
693,"Potter Connecticut","Animation","5","15","62.85","2005-08-22 01:20:19","5.00"
696,"Pride Alamo","Animation","5","15","17.85","2006-02-14 15:16:03","6.00"
703,"Punk Divorce","Animation","2","7","41.93","2005-08-20 16:51:18","6.00"
743,"Room Roman","Animation","6","18","27.82","2005-08-22 21:42:17","7.00"
805,"Sleepless Monsoon","Animation","5","17","103.83","2006-02-14 15:16:03","5.00"
816,"Snowman Rollercoaster","Animation","7","21","65.79","2005-08-23 20:08:26","3.00"
820,"Sons Interview","Animation","6","14","75.85","2006-02-14 15:16:03","3.00"
849,"Storm Happiness","Animation","8","26","42.74","2005-08-22 20:44:35","6.00"
859,"Sugar Wonka","Animation","6","15","93.85","2005-08-23 03:03:53","3.00"
865,"Sunrise League","Animation","6","22","155.78","2005-08-22 11:01:15","3.00"
880,"Telemark Heartbreakers","Animation","8","24","88.76","2005-08-23 06:19:12","6.00"
886,"Theory Mermaid","Animation","4","11","30.88","2006-02-14 15:16:03","5.00"
887,"Thief Pelican","Animation","6","16","97.84","2005-08-22 14:23:11","5.00"
892,"Titanic Boondock","Animation","7","22","149.78","2006-02-14 15:16:03","3.00"
901,"Tracy Cider","Animation","7","24","78.76","2005-08-23 14:02:13","3.00"
916,"Turn Star","Animation","4","12","56.88","2005-08-22 16:06:23","3.00"
953,"Wait Cider","Animation","6","18","73.82","2005-08-23 14:07:56","3.00"
963,"Watch Tracy","Animation","5","15","33.85","2005-08-22 17:48:28","5.00"
986,"Wonka Sea","Animation","6","18","66.82","2005-08-23 16:07:15","6.00"
48,"Backlash Undefeated","Children","4","16","140.84","2005-08-23 15:15:02","3.00"
59,"Bear Graceland","Children","5","19","93.81","2005-08-23 11:56:22","4.00"
66,"Beneath Rush","Children","3","10","16.90","2005-08-20 09:21:08","6.00"
68,"Betrayed Rear","Children","4","13","79.87","2005-08-21 04:29:11","5.00"
110,"Cabin Flash","Children","4","14","39.86","2005-08-21 15:57:25","4.00"
124,"Casper Dragonfly","Children","3","7","45.93","2005-08-21 20:01:34","3.00"
149,"Christmas Moonshine","Children","6","19","26.81","2005-08-22 11:56:02","7.00"
152,"Circus Youth","Children","4","14","53.86","2005-08-23 12:41:07","5.00"
157,"Clockwork Paradise","Children","3","10","11.90","2005-08-23 05:26:30","7.00"
168,"Comancheros Enemy","Children","2","6","9.94","2005-08-23 22:25:26","5.00"
191,"Crooked Frogmen","Children","6","21","38.79","2006-02-14 15:16:03","6.00"
214,"Daughter Madigan","Children","4","9","69.91","2005-08-23 00:46:52","3.00"
238,"Doctor Grail","Children","2","5","23.95","2005-08-20 19:04:40","4.00"
280,"Empire Malkovich","Children","6","19","26.81","2005-08-20 19:03:25","7.00"
304,"Fargo Gandhi","Children","6","21","94.79","2005-08-22 06:29:34","3.00"
328,"Forever Candidate","Children","4","12","40.88","2005-08-23 19:35:42","7.00"
343,"Full Flatliners","Children","2","5","16.95","2005-08-21 13:32:38","6.00"
344,"Fury Murder","Children","5","17","58.83","2005-08-22 06:05:38","3.00"
354,"Ghost Groundhog","Children","5","19","107.81","2006-02-14 15:16:03","6.00"
356,"Giant Troopers","Children","8","26","100.74","2005-08-22 16:57:02","5.00"
370,"Gorgeous Bingo","Children","5","17","94.83","2006-02-14 15:16:03","4.00"
373,"Graduate Lord","Children","5","13","42.87","2005-08-22 06:30:10","7.00"
392,"Hall Cassidy","Children","6","16","98.84","2005-08-23 19:51:30","5.00"
409,"Heartbreakers Bright","Children","7","20","132.80","2005-08-23 18:54:32","3.00"
423,"Hollywood Anonymous","Children","4","13","13.87","2005-08-21 01:10:29","7.00"
424,"Holocaust Highball","Children","5","16","23.84","2005-08-22 21:36:51","6.00"
450,"Idols Snatchers","Children","7","24","88.76","2005-08-23 20:27:34","5.00"
468,"Invasion Cyclone","Children","8","26","100.74","2005-08-23 17:00:12","5.00"
485,"Jersey Sassy","Children","3","6","39.94","2005-08-18 23:21:50","6.00"
491,"Jumping Wrath","Children","6","21","67.79","2005-08-23 17:09:31","4.00"
505,"Labyrinth League","Children","4","13","41.87","2005-08-22 21:41:40","6.00"
509,"Language Cowboy","Children","3","10","18.90","2005-08-19 07:36:42","5.00"
515,"Legally Secretary","Children","2","8","39.92","2005-08-22 15:25:33","7.00"
547,"Magic Mallrats","Children","2","7","17.93","2005-08-22 23:38:01","3.00"
553,"Maker Gables","Children","3","10","32.90","2005-08-23 21:52:56","4.00"
573,"Microcosmos Paradise","Children","4","12","43.88","2005-08-23 22:14:31","6.00"
588,"Model Fish","Children","4","13","76.87","2005-08-21 17:30:17","4.00"
608,"Murder Antitrust","Children","6","21","78.79","2005-08-23 20:47:12","6.00"
626,"Noon Papi","Children","4","15","60.85","2005-08-20 12:33:36","5.00"
688,"Polish Brooklyn","Children","4","15","18.85","2005-08-23 13:48:34","6.00"
735,"Robbers Joon","Children","7","26","85.74","2005-08-22 04:09:18","7.00"
755,"Sabrina Midnight","Children","7","21","126.79","2005-08-21 20:53:40","5.00"
761,"Santa Paris","Children","3","10","29.90","2005-08-23 20:20:37","7.00"
768,"Scarface Bang","Children","6","16","106.84","2006-02-14 15:16:03","3.00"
786,"Shepherd Midsummer","Children","7","23","28.77","2005-08-23 19:51:29","7.00"
833,"Splendor Patton","Children","7","21","40.79","2005-08-23 14:23:03","5.00"
852,"Strangelove Desire","Children","7","22","79.78","2005-08-21 19:12:12","4.00"
853,"Stranger Strangers","Children","3","10","65.90","2005-08-20 15:18:20","3.00"
864,"Sundance Invasion","Children","6","18","36.82","2006-02-14 15:16:03","5.00"
873,"Sweethearts Suspects","Children","8","27","93.73","2006-02-14 15:16:03","3.00"
883,"Tequila Past","Children","2","6","32.94","2005-08-22 07:48:01","6.00"
889,"Ties Hunger","Children","3","9","69.91","2005-08-23 15:41:20","3.00"
896,"Tootsie Pilot","Children","4","12","28.88","2005-08-22 18:48:42","3.00"
918,"Twisted Pirates","Children","4","11","66.89","2005-08-23 12:33:41","4.00"
928,"Uptown Young","Children","3","10","29.90","2005-08-21 14:51:35","5.00"
959,"Warlock Werewolf","Children","2","6","21.94","2005-08-19 13:12:28","6.00"
993,"Wrong Behavior","Children","7","20","62.80","2005-08-23 18:54:07","6.00"
999,"Zoolander Fiction","Children","5","15","66.85","2005-08-23 08:48:43","5.00"
37,"Arizona Bang","Classics","7","21","104.79","2005-08-23 05:08:58","3.00"
60,"Beast Hunchback","Classics","3","10","69.90","2005-08-22 19:28:02","3.00"
91,"Bound Cheaper","Classics","8","24","50.76","2006-02-14 15:16:03","5.00"
116,"Candidate Perdition","Classics","6","17","88.82","2006-02-14 15:16:03","4.00"
131,"Center Dinosaur","Classics","6","21","121.79","2006-02-14 15:16:03","5.00"
166,"Color Philadelphia","Classics","6","22","87.78","2005-08-23 22:06:15","6.00"
180,"Conspiracy Spirit","Classics","2","5","16.95","2005-08-18 12:58:40","4.00"
184,"Core Suit","Classics","5","16","92.84","2005-08-23 04:20:16","3.00"
190,"Creepers Kane","Classics","4","13","77.87","2005-08-23 01:15:07","5.00"
196,"Cruelty Unforgiven","Classics","2","6","6.94","2005-08-23 02:39:37","7.00"
228,"Detective Vision","Classics","7","24","62.76","2006-02-14 15:16:03","4.00"
249,"Dracula Crystal","Classics","6","19","22.81","2005-08-23 20:29:56","7.00"
266,"Dynamite Tarzan","Classics","8","23","60.77","2005-08-23 19:06:04","4.00"
297,"Extraordinary Conquerer","Classics","2","6","22.94","2005-08-23 07:28:04","6.00"
341,"Frost Head","Classics","8","28","74.72","2006-02-14 15:16:03","5.00"
346,"Galaxy Sweethearts","Classics","6","16","105.84","2005-08-22 23:17:41","4.00"
357,"Gilbert Pelican","Classics","4","9","17.91","2005-08-23 20:28:44","7.00"
358,"Gilmore Boiled","Classics","8","24","52.76","2005-08-22 17:18:32","5.00"
425,"Holy Tadpole","Classics","2","8","17.92","2005-08-20 08:27:01","6.00"
432,"Hope Tootsie","Classics","5","17","72.83","2005-08-22 11:43:04","4.00"
445,"Hyde Doctor","Classics","6","23","95.76","2006-02-14 15:16:03","5.00"
469,"Iron Moon","Classics","3","10","50.90","2005-08-23 14:05:37","7.00"
471,"Island Exorcist","Classics","7","23","76.77","2005-08-23 11:28:49","7.00"
480,"Jeepers Wedding","Classics","4","13","70.87","2005-08-23 03:13:01","3.00"
482,"Jeopardy Encino","Classics","3","10","28.90","2005-08-20 12:59:38","3.00"
484,"Jerk Paycheck","Classics","7","19","104.81","2005-08-23 12:26:19","3.00"
487,"Jingle Sagebrush","Classics","3","11","59.89","2005-08-23 00:37:21","6.00"
512,"League Hellfighters","Classics","6","17","105.83","2005-08-21 23:17:26","5.00"
523,"Lights Deer","Classics","2","7","7.93","2005-08-18 13:42:14","7.00"
525,"Loathing Legally","Classics","8","26","62.74","2006-02-14 15:16:03","4.00"
536,"Lovely Jingle","Classics","5","13","62.87","2006-02-14 15:16:03","3.00"
537,"Lover Truman","Classics","3","9","54.91","2005-08-21 15:44:23","3.00"
548,"Magnificent Chitty","Classics","2","8","54.92","2005-08-19 19:35:13","3.00"
554,"Malkovich Pet","Classics","7","23","75.77","2005-08-23 14:23:23","6.00"
578,"Million Ace","Classics","5","17","103.83","2005-08-23 02:05:51","4.00"
611,"Musketeers Wait","Classics","6","15","82.85","2005-08-21 02:23:25","7.00"
633,"October Submarine","Classics","3","10","57.90","2005-08-23 18:43:31","6.00"
652,"Pajama Jawbreaker","Classics","4","14","39.86","2005-08-21 23:47:16","3.00"
663,"Patient Sister","Classics","5","18","21.82","2005-08-23 19:10:32","7.00"
694,"Prejudice Oleander","Classics","6","19","110.81","2005-08-21 15:59:40","6.00"
725,"Requiem Tycoon","Classics","6","18","105.82","2005-08-23 09:37:34","6.00"
731,"Right Cranes","Classics","3","10","52.90","2005-08-21 06:39:08","7.00"
744,"Roots Remember","Classics","5","14","37.86","2005-08-23 16:27:24","4.00"
808,"Sling Luke","Classics","2","6","14.94","2005-08-18 20:20:59","5.00"
815,"Snatchers Montezuma","Classics","3","9","37.91","2005-08-23 19:13:46","4.00"
828,"Spiking Element","Classics","4","12","38.88","2005-08-22 13:03:52","7.00"
843,"Steel Santa","Classics","7","22","136.78","2005-08-23 17:16:28","4.00"
862,"Summer Scarface","Classics","5","14","32.86","2006-02-14 15:16:03","5.00"
891,"Timberland Sky","Classics","7","26","102.74","2005-08-23 00:53:57","3.00"
895,"Tomorrow Hustler","Classics","7","24","101.76","2005-08-23 22:20:26","3.00"
899,"Towers Hurricane","Classics","3","9","10.91","2005-08-18 02:37:07","7.00"
951,"Voyage Legally","Classics","7","25","42.75","2005-08-23 22:26:47","6.00"
962,"Wasteland Divine","Classics","4","12","40.88","2005-08-21 11:20:21","7.00"
970,"Westward Seabiscuit","Classics","7","25","36.75","2005-08-23 08:34:10","7.00"
7,"Airplane Sierra","Comedy","5","15","82.85","2005-08-22 17:18:05","6.00"
28,"Anthem Luke","Comedy","3","11","63.89","2005-08-22 22:37:34","5.00"
99,"Bringing Hysterical","Comedy","6","19","68.81","2005-08-23 07:53:38","7.00"
119,"Caper Motions","Comedy","7","23","37.77","2005-08-23 22:18:51","6.00"
127,"Cat Coneheads","Comedy","8","27","159.73","2006-02-14 15:16:03","5.00"
159,"Closer Bang","Comedy","7","24","152.76","2005-08-22 21:28:59","5.00"
178,"Connection Microcosmos","Comedy","2","5","8.95","2006-02-14 15:16:03","6.00"
182,"Control Anthem","Comedy","2","6","31.94","2005-08-22 17:47:40","7.00"
188,"Crazy Home","Comedy","3","9","26.91","2005-08-22 13:20:28","7.00"
202,"Daddy Pittsburgh","Comedy","3","11","63.89","2005-08-22 01:17:16","5.00"
242,"Doom Dancing","Comedy","5","17","58.83","2005-08-22 19:08:49","4.00"
247,"Downhill Enough","Comedy","7","21","72.79","2005-08-23 18:08:59","3.00"
265,"Dying Maker","Comedy","4","15","83.85","2005-08-21 16:52:03","5.00"
276,"Element Freddy","Comedy","4","10","56.90","2005-08-23 13:06:19","6.00"
308,"Ferris Mother","Comedy","4","15","70.85","2005-08-22 21:39:45","3.00"
317,"Fireball Philadelphia","Comedy","7","19","57.81","2005-08-22 19:41:37","4.00"
324,"Flintstones Happiness","Comedy","5","17","134.83","2005-08-22 23:08:46","3.00"
335,"Freedom Cleopatra","Comedy","2","5","5.95","2005-08-21 12:48:08","5.00"
365,"Gold River","Comedy","4","14","94.86","2005-08-22 19:44:59","4.00"
385,"Groundhog Uncut","Comedy","5","14","78.86","2006-02-14 15:16:03","6.00"
388,"Gunfight Moon","Comedy","6","21","46.79","2006-02-14 15:16:03","5.00"
410,"Heaven Freedom","Comedy","5","15","49.85","2005-08-23 14:42:07","7.00"
413,"Hedwig Alter","Comedy","3","10","31.90","2005-08-23 08:42:40","7.00"
443,"Hurricane Affair","Comedy","7","23","82.77","2005-08-21 09:04:20","6.00"
444,"Hustler Party","Comedy","8","22","190.78","2005-08-23 09:42:21","3.00"
478,"Jaws Harry","Comedy","5","13","59.87","2005-08-21 12:07:25","4.00"
502,"Knock Warlock","Comedy","7","21","99.79","2005-08-22 10:14:33","4.00"
522,"Life Twisted","Comedy","2","8","37.92","2005-08-23 13:16:15","4.00"
524,"Lion Uncut","Comedy","6","17","33.83","2005-08-23 03:32:31","6.00"
529,"Lonely Elephant","Comedy","4","13","65.87","2005-08-21 16:44:32","3.00"
555,"Mallrats United","Comedy","7","22","70.78","2005-08-23 21:59:57","4.00"
568,"Memento Zoolander","Comedy","4","13","88.87","2005-08-22 21:01:25","4.00"
604,"Mulan Moon","Comedy","3","11","30.89","2006-02-14 15:16:03","4.00"
613,"Mystic Truman","Comedy","2","8","17.92","2005-08-23 16:44:56","5.00"
638,"Operation Operation","Comedy","8","25","80.75","2006-02-14 15:16:03","7.00"
657,"Paradise Sabrina","Comedy","6","18","79.82","2005-08-22 02:13:51","5.00"
660,"Party Knock","Comedy","4","12","41.88","2005-08-23 17:44:53","7.00"
672,"Perfect Groove","Comedy","6","16","53.84","2005-08-23 21:37:59","7.00"
680,"Pinocchio Simon","Comedy","6","18","119.82","2005-08-23 21:30:45","4.00"
704,"Pure Runner","Comedy","5","15","89.85","2006-02-14 15:16:03","3.00"
754,"Rushmore Mermaid","Comedy","2","6","18.94","2005-08-22 01:58:15","6.00"
756,"Saddle Antitrust","Comedy","3","11","32.89","2005-08-23 19:46:39","7.00"
765,"Saturn Name","Comedy","4","13","70.87","2005-08-23 18:36:44","7.00"
774,"Searchers Wait","Comedy","4","14","75.86","2005-08-20 21:26:55","3.00"
814,"Snatch Slipper","Comedy","7","20","117.80","2005-08-23 15:34:46","6.00"
837,"Stage World","Comedy","3","10","46.90","2005-08-21 04:49:41","4.00"
857,"Strictly Scarface","Comedy","7","23","113.77","2005-08-23 20:23:08","3.00"
858,"Submarine Bed","Comedy","4","13","78.87","2005-08-21 10:22:51","5.00"
871,"Sweden Shining","Comedy","5","16","101.83","2006-02-14 15:16:03","6.00"
905,"Trainspotting Strangers","Comedy","3","9","46.91","2005-08-23 19:22:36","7.00"
906,"Tramp Others","Comedy","5","18","40.82","2005-08-22 11:05:34","4.00"
932,"Valley Packer","Comedy","4","12","49.88","2005-08-22 01:10:32","3.00"
938,"Velvet Terminator","Comedy","6","23","152.77","2005-08-23 18:46:44","3.00"
939,"Vertigo Northwest","Comedy","4","8","37.92","2005-08-23 15:38:34","4.00"
978,"Wisdom Worker","Comedy","3","9","29.91","2005-08-21 03:40:40","3.00"
1000,"Zorro Ark","Comedy","8","28","199.72","2005-08-23 17:56:01","3.00"
1,"Academy Dinosaur","Documentary","7","21","33.79","2005-08-23 01:01:01","6.00"
3,"Adaptation Holes","Documentary","4","11","34.89","2005-08-23 13:54:39","7.00"
40,"Army Flintstones","Documentary","4","14","36.86","2005-08-22 18:27:33","4.00"
58,"Beach Heartbreakers","Documentary","4","14","55.86","2005-08-23 15:29:17","6.00"
62,"Bed Highball","Documentary","2","6","24.94","2005-08-18 17:34:11","5.00"
72,"Bill Others","Documentary","6","18","63.82","2005-08-23 19:50:06","6.00"
85,"Bonnie Holocaust","Documentary","4","15","31.85","2005-08-21 07:59:47","4.00"
101,"Brotherhood Blanket","Documentary","6","23","98.77","2005-08-22 22:57:25","3.00"
129,"Cause Date","Documentary","6","19","114.81","2005-08-23 16:23:08","3.00"
142,"Chicken Hellfighters","Documentary","5","19","58.81","2005-08-23 22:06:34","3.00"
150,"Cider Desire","Documentary","6","17","56.83","2005-08-23 11:16:16","7.00"
156,"Clerks Angels","Documentary","2","6","45.94","2005-08-21 04:49:48","3.00"
164,"Coast Rainbow","Documentary","5","18","37.82","2005-08-23 10:00:24","4.00"
199,"Cupboard Sinners","Documentary","8","22","103.78","2005-08-22 09:37:54","4.00"
206,"Dancing Fever","Documentary","8","24","49.76","2005-08-22 11:11:51","6.00"
219,"Deep Crusade","Documentary","4","13","75.87","2006-02-14 15:16:03","6.00"
248,"Dozen Lion","Documentary","2","6","31.94","2005-08-22 23:54:36","6.00"
261,"Duffel Apocalypse","Documentary","2","6","5.94","2005-08-21 00:21:29","5.00"
274,"Egg Igby","Documentary","7","19","98.81","2005-08-22 07:19:05","4.00"
295,"Expendable Stallion","Documentary","8","26","94.74","2005-08-23 12:47:37","3.00"
336,"French Holiday","Documentary","5","16","94.84","2005-08-22 09:54:54","5.00"
393,"Halloween Nuts","Documentary","2","8","29.92","2005-08-23 06:50:27","6.00"
400,"Hardly Robbers","Documentary","2","4","15.96","2005-08-22 20:44:06","7.00"
407,"Hawk Chill","Documentary","2","6","12.94","2005-08-20 20:42:12","5.00"
412,"Heavyweights Beast","Documentary","8","22","123.78","2005-08-23 03:54:39","6.00"
427,"Homeward Cider","Documentary","4","16","23.84","2005-08-21 13:07:24","5.00"
441,"Hunter Alter","Documentary","2","5","24.95","2005-08-23 16:44:31","5.00"
457,"Independence Hotel","Documentary","6","18","34.82","2005-08-22 17:48:10","5.00"
466,"Intolerable Intentions","Documentary","2","7","39.93","2005-08-19 03:38:32","6.00"
544,"Madison Trap","Documentary","4","13","64.87","2005-08-22 12:24:55","4.00"
552,"Majestic Floats","Documentary","4","15","36.85","2005-08-22 02:04:38","5.00"
571,"Metal Armageddon","Documentary","6","21","88.79","2005-08-22 23:58:09","6.00"
575,"Midsummer Groundhog","Documentary","6","18","129.82","2005-08-21 19:59:30","3.00"
576,"Mighty Luck","Documentary","3","10","31.90","2005-08-23 08:09:11","7.00"
587,"Mod Secretary","Documentary","3","9","48.91","2005-08-21 09:16:40","6.00"
589,"Modern Dorado","Documentary","4","12","42.88","2005-08-23 14:31:50","3.00"
616,"National Story","Documentary","6","17","76.83","2005-08-23 11:16:29","4.00"
622,"Newsies Story","Documentary","2","7","22.93","2005-08-23 10:04:17","4.00"
627,"North Tequila","Documentary","3","9","51.91","2005-08-23 14:06:19","4.00"
629,"Notorious Reunion","Documentary","4","13","24.87","2005-08-22 10:58:45","7.00"
650,"Pacific Amistad","Documentary","6","19","43.81","2005-08-23 02:25:09","3.00"
670,"Pelican Comforts","Documentary","7","23","165.77","2005-08-23 21:07:59","4.00"
